date1,Gaba1,Gaba2,Gaba3
9/1/2014,1034444,1946728,2808109
10/1/2014,974774,1971591,2839577
11/1/2014,990918,1884751,2791054
12/1/2014,1037579,1966834,3032032
1/1/2015,1281464,1885827,3044317
2/1/2015,1324079,1693466,2720589
3/1/2015,1512803,2017940,3173859
4/1/2015,1543311,1987074,2817968
5/1/2015,1669464,2053423,3028702
6/1/2015,1841052,2018420,2948776
7/1/2015,1899185,2012323,3139604
8/1/2015,1925561,2012316,3086586
9/1/2015,1875165,1906016,2932822
10/1/2015,1895837,1895338,2967640
11/1/2015,1785690,1894723,2894151
12/1/2015,1812025,2894151,2932571
1/1/2016,1481267,2229628,2806548
2/1/2016,1262656,2093354,2760292
3/1/2016,1366491,2183748,2901439
4/1/2016,1332790,2183748,2785673
5/1/2016,1572520,2002956,3043656
6/1/2016,1773203,1851233,2881284
7/1/2016,1844043,1940407,2902483
8/1/2016,1895645,1893790,2998149
9/1/2016,2035336,1803971,2837305
10/1/2016,1982417,1810944,2951347
11/1/2016,2207182,1775404,2842072
12/1/2016,2332191,2009477,3308219
1/1/2017,2374238,2011059,3350933
2/1/2017,2089005,1828902,3083874
3/1/2017,1916878,2148050,3420740
4/1/2017,1828475,2171659,2892026
5/1/2017,1949464,2042359,2911010
6/1/2017,2001347,2441129,3212091
7/1/2017,1842559,2608803,3172985
8/1/2017,1707610,2545448,3291151
9/1/2017,1697454,2315299,3112556
10/1/2017,1894120,2426866,3249623
11/1/2017,2031940,2236304,3019207
12/1/2017,2076675,2214394,3190916
1/1/2018,2080692,2167343,3222477
2/1/2018,1888690,2008007,2926625
3/1/2018,2047861,2247229,3084301
4/1/2018,2005486,2202833,2725200
5/1/2018,1815194,2466465,3113922
6/1/2018,1736563,2335520,3232436
7/1/2018,1850223,2402761,3338794
8/1/2018,1894184,2462428,3354105
9/1/2018,1904331,2499452,3479890
10/1/2018,1927652,2619238,3447317
11/1/2018,1624953,2343304,3306473
12/1/2018,1606728,2426178,3481104
1/1/2019,1852620,2039577,3475625
2/1/2019,1740251,1953684,3155303
3/1/2019,1850766,2203214,3443548
4/1/2019,1873961,2141043,3298971
5/1/2019,1947957,2153565,3336170
6/1/2019,2004593,2349691,3279127
7/1/2019,2238898,2224241,3356947
8/1/2019,2098575,2240870,3418377
9/1/2019,1871340,2121855,3210088
10/1/2019,1789367,2163655,3165698
11/1/2019,1686813,2035427,3163265
12/1/2019,2037793,2084400,3247536
1/1/2020,2107814,2044655,3193581
2/1/2020,2141357,1921506,2955990
3/1/2020,2043514,2053329,3142932
4/1/2020,2140008,1916880,3008318
5/1/2020,2329615,2090186,3075306
6/1/2020,2268831,1994989,2938265
7/1/2020,2018081,2090315,3138088
8/1/2020,2244340,2095188,3117678
9/1/2020,2041350,2095188,2860788
10/1/2020,2150258,2256456,2959331
11/1/2020,1933895,2154427,2869548
12/1/2020,1878309,2205033,3054079
1/1/2021,1729082,2219539,3118381
2/1/2021,1683508,1951774,2925765
